name,lat,lon,rate,rating,user_ratings_total,kind,category,city,country,price_level
"Bürgerhaus ""Zum Sommer"", Neidhart Festsaal (formerly Neidhart Frescoes)",48.210819,16.371241,1,1,78,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",walls,Vienna,AT,1
"Graben 22, Josefsbrunnen, Öffentliche Bedürfnisanstalt am Graben",48.209149,16.369158,3,4.9,339,"fountains,urban_environment,cultural,natural_springs,natural,interesting_places,springs_others, historic_architecture,architecture,interesting_places,other_buildings_and_structures, other,unclassified_objects,interesting_places,historic_object",landmark,Vienna,AT,1
"Capuchin Church, llc, Imperial Crypt, Kapuzinerkirche",48.205736,16.370066,3,4,12107,"historic,burial_places,crypts,interesting_places, religion,churches,monasteries,interesting_places,catholic_churches","churches, landmark",Vienna,AT,1
"Griechenkirche zur Heiligen Dreifaltigkeit, Holy Trinity Greek Orthodox Church",48.210728,16.377455,3,3.2,1012,"religion,churches,interesting_places,eastern_orthodox_churches",churches,Vienna,AT,1
"Rare secular gothic facade, Steyrerhof Building, Vienna",48.21125,16.376514,1,2.3,20,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",landmark,Vienna,AT,1
"Bermudadreieck, Stadttempel",48.211708,16.374659,3,4.2,461,"historical_places,historic,interesting_places,historic_districts",landmark,Vienna,AT,1
"ARTIS INTERNATIONAL, Sternhof",48.211285,16.371099,2,5,3137,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",cinemas,Vienna,AT,2
"Habsburgergasse 10, Time Travel Vienna, Trickymind Museum",48.208318,16.368333,2,4.8,10118,"cultural,museums,interesting_places,other_museums, historic_architecture,architecture,interesting_places,other_buildings_and_structures","art gallery, landmark",Vienna,AT,3
"Palais Eskeles, Reformierte Stadtkirche",48.206928,16.368721,1,3.8,6,"religion,churches,interesting_places,other_churches",palaces,Vienna,AT,3
"Maltese Church, Vienna, Malteserkirche",48.205009,16.371178,3,3.1,217,"religion,churches,interesting_places,catholic_churches",churches,Vienna,AT,1
"Marc Aurel Statue, Marc-Aurel-Hof",48.211899,16.373192,1,1.3,1,"other,unclassified_objects,interesting_places,historic_object",public sculpture,Vienna,AT,1
"Dr.-Iwan-Franko-Denkmal, Griechisch-katholische St.-Barbara-Kirche, Hnatyschyn-Gedenktafel",48.209621,16.378998,2,4.8,480,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments, historic,monuments_and_memorials,interesting_places,monuments",churches,Vienna,AT,1
"Classical Concerts in St Anne’s Church(Annakirche) in Vienna, Matthias Sindelar, Sound of Vienna, St. Anna",48.204516,16.371622,3,4,499,"historic,monuments_and_memorials,interesting_places,monuments, religion,churches,monasteries,interesting_places,other_churches",concert hall,Vienna,AT,3
"Clock Museum, Palais Obizzi",48.210836,16.369338,3,3.6,306,"cultural,museums,interesting_places,other_museums, palaces,architecture,historic_architecture,museums,cultural,interesting_places,other_museums",palaces,Vienna,AT,3
"Archives Of The Austrian Resistance, Documentation Centre of Austrian Resistance",48.21209,16.371309,3,4,114,"cultural,museums,interesting_places,other_museums",walls,Vienna,AT,1
"Gotthold Ephraim Lessing, Lessing-Denkmal",48.211525,16.369844,1,3.9,76,"historic,monuments_and_memorials,interesting_places,monuments",monuments,Vienna,AT,1
Theatermuseum,48.20562,16.368519,3,3.5,692,"cultural,museums,interesting_places,art_galleries",art gallery,Vienna,AT,3
Palais Pallavicini,48.206657,16.367666,3,4.9,118,"palaces,architecture,historic_architecture,interesting_places",palaces,Vienna,AT,3
Font de Santa Anna,41.384544,2.1742,2,4.6,188,"fountains,urban_environment,cultural,interesting_places",sculptures,Barcelona,ES,2
"The World Comes To Life With Each Kiss, el mon neix a cada besada",41.385162,2.174822,3,3.6,912,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,installation,sculptures,monuments",public sculpture,Barcelona,ES,1
"Church of Santa Ana, Creu de Santa Anna, Creu de Terme, Santa Anna Church",41.385847,2.171586,3,3.8,951,"religion,churches,monasteries,interesting_places,catholic_churches, religion,other_temples,interesting_places","churches, landmark",Barcelona,ES,1
"Barcino, Barcino (Joan Brossa), Barcino Sculpture, Roman Aqueduct",41.384174,2.1754,3,1.2,105,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments, settlements,historic,archaeology,interesting_places","landmark, public sculpture",Barcelona,ES,1
