name,kind,city,country,lat,lon,rate
Centre sportif Saint-Merri,"sport,religion,architecture,historic_architecture,churches,interesting_places,pools,other_buildings_and_structures,other_churches",Paris,FR,48.858994,2.352709,3
La Force Prison,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.855598,2.35556,3
"76 rue de la Verrerie, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.858856,2.350806,2
Église des Billettes,"religion,churches,cultural,museums,interesting_places,art_galleries,other_churches",Paris,FR,48.858109,2.35517,3
Square Couperin,"urban_environment,gardens_and_parks,cultural,interesting_places",Paris,FR,48.85561,2.355701,3
,"urban_environment,gardens_and_parks,cultural,interesting_places",Paris,FR,48.854126,2.351466,2
ancienne chapelle Saint-Aignan,"religion,churches,interesting_places,other_churches",Paris,FR,48.854366,2.350408,3
Saint-Jacques Tower,"towers,architecture,interesting_places,other_towers",Paris,FR,48.858002,2.348922,3
Square de la Tour Saint-Jacques,"urban_environment,gardens_and_parks,cultural,interesting_places",Paris,FR,48.857883,2.348761,3
Saint-Merri,"religion,churches,interesting_places,other_churches",Paris,FR,48.859177,2.352846,3
Église Saint-Jacques-de-la-Boucherie,"religion,churches,interesting_places,other_churches",Paris,FR,48.858055,2.348889,3
Saint-Merri,"religion,churches,interesting_places,catholic_churches",Paris,FR,48.859081,2.350804,3
Gérard de Nerval,"historic,monuments_and_memorials,interesting_places,monuments",Paris,FR,48.8578,2.348613,3
Hôtel Pottier de Blancmesnil,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859207,2.353047,2
Chez Julien,"architecture,historic_architecture,interesting_places,restaurants,foods,shops,bakeries,tourist_facilities,other_buildings_and_structures",Paris,FR,48.854748,2.355136,2
"2 rue Saint-Merri - 25 rue du Temple, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859123,2.353669,2
"76 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859024,2.350367,2
"11 rue Saint-Merri, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859272,2.352972,2
"24 rue Chanoinesse, Paris","historic_architecture,architecture,interesting_places,foods,bars,tourist_facilities,other_buildings_and_structures",Paris,FR,48.854168,2.350278,2
"Crèmerie, 6 rue du Pont-Louis-Philippe","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.854721,2.355278,2
Hôtel de la Motte-Montgaubert,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.853901,2.3513,3
église Saint-Symphorien (Paris),"religion,churches,interesting_places,other_churches",Paris,FR,48.855099,2.34865,3
Théâtre de la Ville,"cultural,theatres_and_entertainments,interesting_places,other_theatres",Paris,FR,48.857288,2.348071,3
