name,lat,lon,rate,rating,user_ratings_total,kind,category,city,country,theme,price_level,category_main,category_encoded,theme_encoded,city_encoded,country_encoded,price_per_review,log_user_ratings,log_price_per_review,distance_to_city_center,in_center_dynamic,is_religious,is_entertainment,kind_count,name_length,word_count,theme_popularity,city_category_density,user_ratings_relative
Le Duc des Lombards,48.859692,2.348605,3,4.0,1804,"cultural,theatres_and_entertainments,interesting_places,other_theatres",concert hall,Paris,FR,entertainment,3,concert hall,8,3.0,16,15,0.0,7.498315870766981,0.0,0.004741781205413513,1,0,1,4,19,4,103.0,1,0.43881530938341407
"Charles V clock, Tour de l'Horloge, Tour de l'Horloge du Palais de la Cité",48.856198,2.34627,3,3.0,616,"other,unclassified_objects,interesting_places,historic_object, towers,architecture,interesting_places,clock_towers",monuments,Paris,FR,culture,1,monuments,18,1.0,16,15,0.0,6.424869023905388,0.0,0.00594361035062008,1,0,0,8,74,14,591.0,7,0.1498393739357999
"Fontaine de la Vierge, La fontaine de la Vierge",48.852562,2.351384,1,4.1,87,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",monuments,Paris,FR,culture,1,monuments,18,1.0,16,15,0.01,4.477336814478207,0.009950330853168083,0.004119623769230696,1,0,0,8,47,9,591.0,7,0.02116237911106265
Théâtre du Châtelet,48.857796,2.346263,3,4.1,4633,"theatres_and_entertainments,concert_halls,cultural,interesting_places,music_venues,opera_houses",theatres,Paris,FR,entertainment,2,theatres,29,3.0,16,15,0.0,8.441175704992322,0.0,0.006056268240426509,1,0,1,6,19,3,103.0,4,1.1269574990983133
Notre-Dame-des-Blancs-Manteaux,48.858955,2.357737,3,2.3,273,"religion,churches,interesting_places,catholic_churches",churches,Paris,FR,religion,1,churches,6,2.0,16,15,0.0,5.6131281063880705,0.0,0.006017008725272934,1,1,0,4,30,1,223.0,4,0.06640608617609314
"Charlemagne et ses leudes, Statue de Charlemagne et ses leudes",48.853096,2.34827,3,1.3,114,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",sculptures,Paris,FR,culture,2,sculptures,26,1.0,16,15,0.02,4.74493212836325,0.019802627296179712,0.00526525554935337,1,0,0,7,62,10,591.0,1,0.027730014007599335
"Tour de l'enceinte de Philippe Auguste, Tower Philippe Auguste",48.859673,2.357033,1,4.0,10,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,other_fortifications",landmark,Paris,FR,culture,1,landmark,15,1.0,16,15,0.1,2.3978952727983707,0.09531017980432487,0.005727234760336284,1,0,0,7,62,9,591.0,2,0.002432457369087661
"131 rue Saint-Martin, Paris, Fontaine Maubuée, fontaine Maubuée",48.861065,2.351281,1,2.1,22,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments, historic_architecture,architecture,interesting_places,other_buildings_and_structures",fountains,Paris,FR,culture,2,fountains,10,1.0,16,15,0.09,3.1354942159291497,0.08617769624105233,0.0045585947396131424,1,0,0,12,63,8,591.0,1,0.005351406211992854
"Deportation Martyrs Memorial, Mémorial des Martyrs de la Déportation",48.851738,2.352366,3,4.6,514,"historic,burial_places,interesting_places,war_memorials",monuments,Paris,FR,culture,1,monuments,18,1.0,16,15,0.0,6.244166900663736,0.0,0.004864832987886362,1,0,0,4,68,9,591.0,7,0.12502830877110577
Fontaine des Innocents,48.860638,2.348023,3,4.1,1742,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",landmark,Paris,FR,culture,1,landmark,15,1.0,16,15,0.0,7.463363045520021,0.0,0.005809713676250285,1,0,0,8,22,3,591.0,2,0.42373407369507055
Sainte-Chapelle,48.855392,2.344994,3,4.8,43407,"religion,churches,cultural,museums,interesting_places,other_museums,catholic_churches",monuments,Paris,FR,religion,1,monuments,18,2.0,16,15,0.0,10.678399034898712,0.0,0.007306551854328867,1,1,0,7,15,1,223.0,7,10.55856770199881
Jardin Anne Frank,48.861652,2.355053,3,5.0,1105,"urban_environment,gardens_and_parks,cultural,interesting_places",gardens,Paris,FR,nature,3,gardens,12,4.0,16,15,0.0,7.00850518208228,0.0,0.005801923215623554,1,0,0,4,17,3,28.0,1,0.26878653928418655
